property_address,property_ward,violation_fire_code,violation_description,number_of_violations
215 Wynford Dr,NA,9.6.2.11,9.6.2.11 Refuse storage rooms,24
409 Bloor St E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),16
409 Bloor St E,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),16
409 Bloor St E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,16
409 Bloor St E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,16
409 Bloor St E,NA,2.2.3.3,2.2.3.3 Operation of closures,16
409 Bloor St E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
409 Bloor St E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,16
409 Bloor St E,NA,CH 470 - S.7,CH 470 - S.7,16
2450 Weston Rd,5,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),7
30 Thunder Grv,NA,1.1.2.3./6.4.3.7.(1),1.1.2.3./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),4
30 Thunder Grv,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
25 Thunder Grv,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",5
25 Thunder Grv,NA,1.1.2.3./7.3.1.2.,1.1.2.3./7.3.1.2. Records of Test (Smoke Control),5
25 Thunder Grv,NA,2.2.3.2,2.2.3.2 Maintenance of closures,5
25 Thunder Grv,NA,2.8.3.4,2.8.3.4 Records,5
100 Wingarden Crt,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",9
100 Wingarden Crt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
100 Wingarden Crt,NA,4.3.13.5,4.3.13.5 Placards,9
80 Alton Towers Crcl,NA,1.1.1.2,"Check, Inspect and Test",25
80 Alton Towers Crcl,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),25
80 Alton Towers Crcl,NA,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),25
80 Alton Towers Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),25
80 Alton Towers Crcl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,25
80 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
80 Alton Towers Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
80 Alton Towers Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
80 Alton Towers Crcl,NA,2.7.3.1,2.7.3.1 Exit signs,25
80 Alton Towers Crcl,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,25
80 Alton Towers Crcl,NA,6.3.2.5,6.3.2.5 Voice communication systems,25
80 Alton Towers Crcl,NA,9.6.3.6,9.6.3.6 Exit signs,25
300 Alton Towers Crcl,NA,1.1.2.1,1.1.2.1 Records to be prepared,23
300 Alton Towers Crcl,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),23
300 Alton Towers Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),23
300 Alton Towers Crcl,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),23
300 Alton Towers Crcl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,23
300 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,23
300 Alton Towers Crcl,NA,2.2.3.5,2.2.3.5 Inspection of fire dampers and fire-stop flaps,23
300 Alton Towers Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,23
300 Alton Towers Crcl,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,23
300 Alton Towers Crcl,NA,2.8.3.2,2.8.3.2 Frequency,23
300 Alton Towers Crcl,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,23
300 Alton Towers Crcl,NA,6.4.3.2,6.4.3.2 Hydrostatic test,23
160 Alton Towers Crcl,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",25
160 Alton Towers Crcl,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),25
160 Alton Towers Crcl,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),25
160 Alton Towers Crcl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,25
160 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
160 Alton Towers Crcl,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,25
160 Alton Towers Crcl,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,25
160 Alton Towers Crcl,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,25
160 Alton Towers Crcl,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,25
665 Kennedy Rd,NA,1.1.2.1,1.1.2.1 Records to be prepared,19
665 Kennedy Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),19
665 Kennedy Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),19
665 Kennedy Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),19
665 Kennedy Rd,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),19
665 Kennedy Rd,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),19
665 Kennedy Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),19
665 Kennedy Rd,NA,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),19
665 Kennedy Rd,NA,1.1.2.3,1.1.2.3  (Do Not Use),19
665 Kennedy Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,19
665 Kennedy Rd,NA,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,19
665 Kennedy Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,19
665 Kennedy Rd,NA,6.4.1.2,6.4.1.2 Testing,19
665 Kennedy Rd,NA,6.4.2.1,6.4.2.1 Hose stations,19
665 Kennedy Rd,NA,6.4.2.6,6.4.2.6 Standpipe identification,19
665 Kennedy Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,19
665 Kennedy Rd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,19
665 Kennedy Rd,NA,9.6.5.6,9.6.5.6 Firefighters' elevators,19
425 Walmer Rd,NA,1.1.2.2,1.1.2.2 Retention of records,7
425 Walmer Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,7
425 Walmer Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,7
425 Walmer Rd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,7
150 Dan Leckie Way,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,2
500 Doris Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",1
10 Northtown Way,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,19
10 Northtown Way,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",19
606 Avenue Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,12
606 Avenue Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
39 Old Mill Rd,3,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),6
39 Old Mill Rd,3,2.2.3.1,2.2.3.1 Damaged closures,6
39 Old Mill Rd,3,2.2.3.2,2.2.3.2 Maintenance of closures,6
633 Bay St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),4
633 Bay St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
633 Bay St,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,4
500 Avenue Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,11
500 Avenue Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
500 Avenue Rd,NA,2.2.3.3,2.2.3.3 Operation of closures,11
500 Avenue Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,11
500 Avenue Rd,NA,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,11
500 Avenue Rd,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,11
500 Avenue Rd,NA,4.1.5.9,4.1.5.9 Basement storage,11
500 Avenue Rd,NA,5.6.2.4,5.6.2.4 Indoor storage of flammable compressed gases,11
500 Avenue Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,11
500 Avenue Rd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,11
276 St George St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),18
276 St George St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
276 St George St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
276 St George St,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),18
276 St George St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),18
276 St George St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),18
276 St George St,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),18
276 St George St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),18
276 St George St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
276 St George St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
276 St George St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,18
276 St George St,NA,6.3.1.2,6.3.1.2 Monitoring,18
206 St George St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),2
206 St George St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,2
575 Avenue Rd,NA,1.1.2.2,1.1.2.2 Retention of records,23
575 Avenue Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,23
575 Avenue Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,23
575 Avenue Rd,NA,6.3.2.2,6.3.2.2 Fire alarm systems,23
575 Avenue Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,23
145 St George St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
35 Hayden St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),6
35 Hayden St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),6
35 Hayden St,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),6
35 Hayden St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,6
50 Holly St,NA,2.16.2.1,2.16.2.1 Installation requirements,9
50 Holly St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,9
50 Holly St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
50 Holly St,NA,2.4.1.3,2.4.1.3 Waste receptacles,9
1775 Eglinton Ave W,NA,1.1.2.1,1.1.2.1 Records to be prepared,9
1775 Eglinton Ave W,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),9
1775 Eglinton Ave W,NA,2.16.2.1,2.16.2.1 Installation requirements,9
1775 Eglinton Ave W,NA,2.2.2.1,2.2.2.1 Damaged fire separations,9
1775 Eglinton Ave W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
1775 Eglinton Ave W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
1775 Eglinton Ave W,NA,6.2.4.3,6.2.4.3 Distance above floor,9
1775 Eglinton Ave W,NA,6.4.3.5,6.4.3.5 Flow and pressure tests,9
1775 Eglinton Ave W,NA,6.6.3.5,6.6.3.5 Fire pump flow tests,9
135 Lawton Blvd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),5
135 Lawton Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,5
135 Lawton Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,5
135 Lawton Blvd,NA,6.5.1.8,6.5.1.8 Records,5
17 Lascelles Blvd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
17 Lascelles Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,10
17 Lascelles Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
17 Lascelles Blvd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,10
18 Merton St,NA,2.16.2.1,2.16.2.1 Installation requirements,13
18 Merton St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
18 Merton St,NA,6.2.4.3,6.2.4.3 Distance above floor,13
18 Merton St,NA,6.4.3.7,6.4.3.7. Fire Department Connections,13
18 Merton St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,13
85 Lawton Blvd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),24
85 Lawton Blvd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),24
85 Lawton Blvd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),24
