property_address,property_ward,violation_fire_code,number_of_violations
35 Warrender Ave,2,6.3.1.2,10
7 Capri Rd,2,2.2.3.2,10
53 Warrender Ave,2,2.2.2.1,5
53 Warrender Ave,2,2.2.3.2,5
53 Warrender Ave,2,6.4.2.6. (1),5
627 The West Mall,NA,1.1.1.2,6
627 The West Mall,NA,2.2.2.1,6
627 The West Mall,NA,2.2.3.1,6
627 The West Mall,NA,2.2.3.2,6
627 The West Mall,NA,6.3.1.2,6
627 The West Mall,NA,6.5.1.5,6
41 Warrender Ave,2,2.2.2.1,5
41 Warrender Ave,2,2.7.3.2,5
41 Warrender Ave,2,6.4.2.6,5
361 The West Mall,2,2.2.3.2,11
361 The West Mall,2,2.7.3.2 (1),11
511 The West Mall,2,2.2.2.1,16
511 The West Mall,2,2.2.3.1,16
511 The West Mall,2,2.2.3.2,16
511 The West Mall,2,2.7.1.7,16
511 The West Mall,2,2.7.3.2,16
511 The West Mall,2,2.8.2.1,16
511 The West Mall,2,6.3.1.2,16
511 The West Mall,2,6.4.3.7,16
551 The West Mall,2,2.2.2.1,4
551 The West Mall,2,2.2.3.2,4
551 The West Mall,2,6.3.1.2,4
551 The West Mall,2,6.3.4.7,4
440 Rathburn Rd,2,2.2.2.1,4
440 Rathburn Rd,2,2.2.3.2,4
440 Rathburn Rd,2,9.6.3.6,4
440 Rathburn Rd,2,9.6.5.6,4
451 The West Mall,2,6.2.1.2,5
451 The West Mall,2,6.2.1.3 (1),5
451 The West Mall,2,6.2.7.2,5
451 The West Mall,2,6.4.2.6. (1),5
451 The West Mall,2,9.6.3.6,5
61 Richview Rd,2,2.2.2.1,7
61 Richview Rd,2,2.2.3.2,7
61 Richview Rd,2,2.2.3.3,7
61 Richview Rd,2,6.5.1.5,7
25 Warrender Ave,2,1.1.2.1./6.6.5.6.,19
25 Warrender Ave,2,2.2.2.1,19
25 Warrender Ave,2,2.2.3.2,19
25 Warrender Ave,2,2.4.6.1,19
25 Warrender Ave,2,2.8.2.1,19
25 Warrender Ave,2,6.3.1.2,19
25 Warrender Ave,2,6.5.6.5,19
25 Warrender Ave,2,CH 470 - S.7,19
625 The West Mall,2,1.1.1.2,8
625 The West Mall,2,2.2.2.1,8
625 The West Mall,2,2.2.3.1,8
625 The West Mall,2,2.2.3.2.(1),8
625 The West Mall,2,2.7.3.1,8
625 The West Mall,2,2.8.2.1,8
625 The West Mall,2,6.3.1.2,8
625 The West Mall,2,6.5.1.5,8
71 Thorncliffe Park Dr,15,6.3.1.4,14
7 Smith Cres,3,6.3.1.4,2
175 Shaughnessy Blvd,17,2.2.3.2,9
175 Shaughnessy Blvd,17,9.6.2.15,9
175 Shaughnessy Blvd,17,9.6.2.6,9
1470 Midland Ave,21,1.1.1.2,6
2550 Lawrence Ave E,21,1.1.2.1./6.3.2.4.,7
2550 Lawrence Ave E,21,6.3.1.4,7
22 Willowridge Rd,1,2.8.1.2,12
22 Willowridge Rd,1,6.4.2.7,12
8 Eglinton Ave E,12,6.3.1.4,31
3050 Ellesmere Rd,24,6.5.1.2,12
5180 Yonge St,18,1.1.2.1./6.7.1.1.,18
5180 Yonge St,18,1.1.2.1./7.2.2.1.,18
5180 Yonge St,18,1.1.2.1./7.3.1.2.,18
5180 Yonge St,18,2.2.2.1,18
5180 Yonge St,18,2.2.3.2,18
5180 Yonge St,18,2.2.3.3,18
5180 Yonge St,18,2.4.1.1,18
5180 Yonge St,18,2.4.1.3,18
5180 Yonge St,18,6.4.2.3,18
5180 Yonge St,18,6.5.1.5 (1),18
5180 Yonge St,18,6.5.6.5,18
5180 Yonge St,18,7.3.1.3,18
18 Stafford St,10,6.3.1.4,11
101 Humber Blvd,5,6.4.2.1,24
225 Wellesley St E,13,1.1.2.1,6
225 Wellesley St E,13,2.2.2.1,6
225 Wellesley St E,13,2.2.3.2,6
225 Wellesley St E,13,2.4.1.1,6
225 Wellesley St E,13,2.8.2.5 (1),6
225 Wellesley St E,13,6.3.1.4,6
3825 Sheppard Ave E,22,1.1.2.1./6.5.5.4.,19
3825 Sheppard Ave E,22,1.1.2.1./6.7.1.1.,19
3825 Sheppard Ave E,22,2.2.2.1,19
3825 Sheppard Ave E,22,2.8.2.5,19
3825 Sheppard Ave E,22,6.4.2.6. (1),19
3825 Sheppard Ave E,22,6.4.3,19
260 Merton St,12,1.1.2.1./6.7.1.1.,28
260 Merton St,12,2.8.2.1,28
260 Merton St,12,6.4.3.5,28
260 Merton St,12,6.5.5.7,28
260 Merton St,12,6.6.3.3,28
260 Merton St,12,6.6.3.5,28
260 Merton St,12,7.2.1.1,28
195 Merton St,12,1.1.2.1./6.3.2.2.,20
195 Merton St,12,1.1.2.1./6.7.1.1.,20
1901 Yonge St,12,1.1.2.1./2.7.3.3.(3),15
1901 Yonge St,12,1.1.2.1./6.2.7.5.,15
1901 Yonge St,12,1.1.2.1./6.3.2.2.,15
1901 Yonge St,12,1.1.2.1./6.3.2.6.,15
1901 Yonge St,12,1.1.2.1./6.4.3.3.,15
1901 Yonge St,12,1.1.2.1./6.6.3.5.,15
1901 Yonge St,12,1.1.2.1./6.7.1.1.,15
1901 Yonge St,12,6.4.3.7,15
1901 Yonge St,12,6.5.1.8,15
2 Lynwood Ave,12,6.7.1.1,19
1815 Yonge St,12,6.3.1.4,12
188 Eglinton Ave E,12,1.1.2.1./2.7.3.3.(3),30
188 Eglinton Ave E,12,1.1.2.1./6.2.7.5.,30
188 Eglinton Ave E,12,1.1.2.1./6.3.2.2.,30
188 Eglinton Ave E,12,1.1.2.1./6.3.2.6.,30
188 Eglinton Ave E,12,1.1.2.1./6.6.3.5.,30
188 Eglinton Ave E,12,6.4.1.3. (1),30
188 Eglinton Ave E,12,6.4.3.5,30
188 Eglinton Ave E,12,6.5.1.8,30
1944 Yonge St,12,1.1.2.1./6.6.3.5.,6
1944 Yonge St,12,1.1.2.1./6.7.1.1.,6
1944 Yonge St,12,6.3.1.4,6
1944 Yonge St,12,6.4.1.3. (1),6
1944 Yonge St,12,6.4.3.5,6
1944 Yonge St,12,6.4.3.7,6
2181 Yonge St,12,1.1.2.1./6.4.3.3.,5
2181 Yonge St,12,1.1.2.1./6.6.3.5.,5
2181 Yonge St,12,1.1.2.1./6.7.1.1.,5
2181 Yonge St,12,6.4.1.3. (1),5
2181 Yonge St,12,6.4.3.7,5
65 Huntingdale Blvd,22,1.1.2.1./2.7.3.3.(3),14
65 Huntingdale Blvd,22,1.1.2.1./6.2.7.5.,14
65 Huntingdale Blvd,22,1.1.2.1./6.3.2.2.,14
65 Huntingdale Blvd,22,1.1.2.1./6.5.5.3.,14
65 Huntingdale Blvd,22,1.1.2.1./6.5.5.4.,14
65 Huntingdale Blvd,22,1.1.2.1./6.6.3.5.,14
65 Huntingdale Blvd,22,1.1.2.1./7.2.2.1.,14
65 Huntingdale Blvd,22,1.1.2.3./6.7.1.1.,14
65 Huntingdale Blvd,22,2.2.3.2,14
65 Huntingdale Blvd,22,2.8.2.1,14
55 Huntingdale Blvd,22,1.1.2.1./2.7.3.3.(3),18
55 Huntingdale Blvd,22,1.1.2.1./6.2.7.5.,18
55 Huntingdale Blvd,22,1.1.2.1./6.3.2.2.,18
55 Huntingdale Blvd,22,1.1.2.1./6.3.2.4.,18
55 Huntingdale Blvd,22,1.1.2.1./6.4.3.2.,18
55 Huntingdale Blvd,22,1.1.2.1./6.4.3.3.,18
55 Huntingdale Blvd,22,1.1.2.1./6.5.5.3.,18
55 Huntingdale Blvd,22,1.1.2.1./6.5.5.4.,18
55 Huntingdale Blvd,22,1.1.2.1./6.6.3.5.,18
55 Huntingdale Blvd,22,1.1.2.1./6.7.1.1.,18
55 Huntingdale Blvd,22,1.1.2.1./7.2.2.1.,18
55 Huntingdale Blvd,22,2.2.2.1,18
55 Huntingdale Blvd,22,2.2.3.2,18
45 Huntingdale Blvd,22,1.1.2.1./2.7.3.3.(3),23
45 Huntingdale Blvd,22,1.1.2.1./6.2.7.5.,23
45 Huntingdale Blvd,22,1.1.2.1./6.3.2.2.,23
45 Huntingdale Blvd,22,1.1.2.1./6.5.5.2.,23
45 Huntingdale Blvd,22,1.1.2.1./6.6.3.5.,23
45 Huntingdale Blvd,22,1.1.2.1./6.7.1.1.,23
45 Huntingdale Blvd,22,2.2.2.1,23
45 Huntingdale Blvd,22,2.2.3.2,23
55 Ontario St,13,6.3.1.4,24
110 Edward St,11,6.3.1.4,13
56 Forest Manor Rd,17,1.1.1.2,28
600 Fleet St,10,6.3.1.4,3
91 Augusta Ave,10,2.7.3.2 (1),5
140 Adanac Dr,20,6.3.1.4,16
2313 Islington Ave,1,2.2.3.2,23
2313 Islington Ave,1,2.7.3.2,23
2313 Islington Ave,1,2.7.3.3,23
2313 Islington Ave,1,6.3.1.2,23
77 Quebec Ave,4,2.2.3.1,8
77 Quebec Ave,4,2.2.3.3,8
77 Quebec Ave,4,9.6.3.6,8
1865 Martin Grove Rd,1,1.1.2.1./6.3.2.2.,14
1865 Martin Grove Rd,1,1.1.2.1./6.7.1.1.,14
1865 Martin Grove Rd,1,2.2.2.1,14
1865 Martin Grove Rd,1,2.2.3.1,14
3171 Eglinton Ave E,20,2.2.3.2,20
70 Rexdale Blvd,1,1.1.1.2,5
70 Rexdale Blvd,1,2.2.3.2,5
70 Rexdale Blvd,1,CH 470 - S.6,5
3621 Lake Shore Blvd W,3,2.8.1.2,7
3621 Lake Shore Blvd W,3,2.8.2.1,7
3621 Lake Shore Blvd W,3,2.8.3.4,7
3621 Lake Shore Blvd W,3,6.5.6.5,7
3621 Lake Shore Blvd W,3,CH 470 - S.7,7
10 Morrison St,10,1.1.2.1./6.2.7.5.,17
10 Morrison St,10,1.1.2.1./6.3.2.2.,17
10 Morrison St,10,1.1.2.1./6.7.1.1.,17
10 Morrison St,10,2.4.1.1,17
680 Queens Quay W,10,2.4.1.1,9
909 Bay St,13,6.3.1.4,3
301 Dixon Rd,2,2.2.3.2,10
301 Dixon Rd,2,2.5.1.2. (2),10
5 Agate Rd,6,2.4.1.1,11
1780 Eglinton Ave E,16,1.1.2.1./6.6.5.6.,25
1780 Eglinton Ave E,16,1.1.2.1./7.2.2.1.,25
1780 Eglinton Ave E,16,1.1.2.3,25
1780 Eglinton Ave E,16,2.2.2.1,25
1780 Eglinton Ave E,16,2.2.3.1,25
1780 Eglinton Ave E,16,2.2.3.2,25
1780 Eglinton Ave E,16,2.4.1.1,25
1780 Eglinton Ave E,16,9.6.3.6,25
1790 Eglinton Ave E,16,1.1.2.1./7.2.2.1.,18
1790 Eglinton Ave E,16,1.1.2.3,18
1790 Eglinton Ave E,16,2.2.2.1,18
1790 Eglinton Ave E,16,2.2.3.2,18
1790 Eglinton Ave E,16,6.2.1.2,18
1790 Eglinton Ave E,16,6.5.3.4,18
1790 Eglinton Ave E,16,9.6.2.11,18
10 Bellair St,11,6.3.1.4,11
151 Dan Leckie Way,10,2.8.2.1,22
151 Dan Leckie Way,10,6.3.1.4,22
1 De Boers Dr,6,CH 470 - S.6,6
409 Bloor St E,13,2.2.2.1,16
409 Bloor St E,13,9.6.2.6,16
409 Bloor St E,13,CH 470 - S.6,16
409 Bloor St E,13,CH 470 - S.7,16
2570 Kingston Rd,20,2.8.2.1,14
2570 Kingston Rd,20,6.3.1.4,14
33 Orchard View Blvd,8,6.2.4.1,5
30 Springhurst Ave,4,2.2.2.1,9
30 Springhurst Ave,4,2.2.3.2,9
30 Springhurst Ave,4,CH 470 - S.6,9
415 Driftwood Ave,7,1.1.2.1,11
910 Queens Plate Dr,1,1.1.1.2,1
4001 Steeles Ave W,7,6.3.1.4,1
100 Merton St,12,1.1.2.1,32
100 Merton St,12,1.1.2.1./6.2.7.5.,32
100 Merton St,12,1.1.2.1./6.3.2.2.,32
100 Merton St,12,1.1.2.1./6.7.1.1.,32
100 Merton St,12,2.2.3.2,32
100 Merton St,12,6.5.6.5,32
1486 Bathurst St,12,2.2.2.1,11
21 Vaughan Rd,12,2.2.3.3,11
21 Vaughan Rd,12,2.4.1.1,11
6 Auburndale Crt,1,1.1.2.1,10
6 Auburndale Crt,1,1.1.2.3,10
411 Eglinton Ave E,15,9.6.4.2,3
210 Oak St,13,6.3.1.4,1
66 Portland St,10,1.1.1.2,9
66 Portland St,10,2.2.2.1,9
66 Portland St,10,2.2.3.2,9
66 Portland St,10,2.4.1.1,9
66 Portland St,10,2.8.2.1,9
66 Portland St,10,3.3.2.3,9
66 Portland St,10,6.4.2.1,9
66 Portland St,10,9.6.4.2,9
66 Portland St,10,CH 470 - S.7,9
2063 Islington Ave,1,1.1.1.2.(3),28
40 Chichester Pl,22,2.8.2.1,14
40 Chichester Pl,22,2.8.2.5,14
5 Vicora Linkway,16,1.1.1.2,12
5 Vicora Linkway,16,2.2.2.1,12
5 Vicora Linkway,16,2.2.3.2,12
5 Vicora Linkway,16,2.8.2.1,12
5 Vicora Linkway,16,6.2.1.2,12
715 Don Mills Rd,16,1.1.2.1./6.2.7.5.,18
715 Don Mills Rd,16,1.1.2.1./6.3.2.2.,18
715 Don Mills Rd,16,1.1.2.1./6.3.2.4.,18
715 Don Mills Rd,16,1.1.2.1./6.4.3.3.,18
715 Don Mills Rd,16,1.1.2.1./6.4.3.7.(1),18
715 Don Mills Rd,16,1.1.2.1./6.5.5.4.,18
715 Don Mills Rd,16,1.1.2.1./6.6.3.5.,18
715 Don Mills Rd,16,1.1.2.1./6.6.5.6.,18
715 Don Mills Rd,16,2.2.3.2,18
715 Don Mills Rd,16,2.8.2.1,18
715 Don Mills Rd,16,6.2.1.2,18
715 Don Mills Rd,16,6.5.1.5,18
715 Don Mills Rd,16,6.5.4.5,18
701 Don Mills Rd,16,1.1.2.1,33
701 Don Mills Rd,16,2.2.2.1,33
701 Don Mills Rd,16,2.2.3.2,33
701 Don Mills Rd,16,2.4.1.1,33
701 Don Mills Rd,16,2.7.1.7,33
701 Don Mills Rd,16,2.7.3.2,33
701 Don Mills Rd,16,2.8.2.1,33
701 Don Mills Rd,16,6.2.4.3,33
701 Don Mills Rd,16,6.4.1.3,33
701 Don Mills Rd,16,9.6.2.6,33
10 Edgecliff Golfway,16,1.1.2.1./6.2.7.5.,33
10 Edgecliff Golfway,16,1.1.2.1./6.3.2.2.,33
10 Edgecliff Golfway,16,1.1.2.1./6.3.2.4.,33
10 Edgecliff Golfway,16,1.1.2.1./6.5.5.4.,33
10 Edgecliff Golfway,16,2.2.3.2,33
10 Edgecliff Golfway,16,2.7.1.7,33
10 Edgecliff Golfway,16,2.8.2.1,33
10 Edgecliff Golfway,16,6.4.2.1,33
17 Barberry Pl,17,1.1.1.2,38
17 Barberry Pl,17,1.1.2.1./2.7.3.3.(3),38
17 Barberry Pl,17,1.1.2.1./6.2.7.5.,38
17 Barberry Pl,17,1.1.2.1./6.3.2.2.,38
17 Barberry Pl,17,1.1.2.1./6.3.2.4.,38
17 Barberry Pl,17,1.1.2.1./6.3.2.6.,38
17 Barberry Pl,17,1.1.2.1./6.5.5.3.,38
17 Barberry Pl,17,2.2.2.1,38
17 Barberry Pl,17,2.2.3.2,38
17 Barberry Pl,17,2.4.1.1,38
17 Barberry Pl,17,2.7.3.1,38
17 Barberry Pl,17,6.5.3.4,38
17 Barberry Pl,17,6.5.6.5 (3),38
17 Barberry Pl,17,CH 470 - S.7,38
2885 Bayview Ave,17,1.1.1.2,31
2885 Bayview Ave,17,1.1.2.1./6.2.7.5.,31
2885 Bayview Ave,17,1.1.2.1./6.3.2.2.,31
2885 Bayview Ave,17,2.2.2.1,31
2885 Bayview Ave,17,2.2.3.2,31
2885 Bayview Ave,17,2.7.3.2 (1),31
2885 Bayview Ave,17,6.2.7.2,31
2885 Bayview Ave,17,6.4.2.1,31
123 Parkway Forest Dr,17,1.1.2.1./7.3.1.2.,24
123 Parkway Forest Dr,17,2.2.2.1,24
123 Parkway Forest Dr,17,2.2.3.2,24
123 Parkway Forest Dr,17,2.4.1.1,24
123 Parkway Forest Dr,17,2.7.3.3,24
123 Parkway Forest Dr,17,2.8.2.1,24
123 Parkway Forest Dr,17,6.5.3.4,24
123 Parkway Forest Dr,17,CH 470 - S.6,24
4 The Kingsway,3,2.8.1.2,3
20 Redgrave Dr,1,1.1.2.1,3
1145 Logan Ave,14,1.1.1.2,17
1145 Logan Ave,14,2.2.3.2,17
262 Ridley Blvd,8,CH 470 - S.7,2
369 Pape Ave,14,1.1.2.3./2.7.3.3.(3),9
369 Pape Ave,14,1.1.2.3./6.2.7.5.,9
369 Pape Ave,14,1.1.2.3./6.3.2.2.,9
369 Pape Ave,14,1.1.2.3./6.4.3.3.,9
369 Pape Ave,14,1.1.2.3./6.5.5.2.,9
369 Pape Ave,14,2.2.3.2,9
280 Donlands Ave,14,2.4.1.1,12
55 Cosburn Ave,14,2.1.2.2,12
55 Cosburn Ave,14,2.4.6.1,12
55 Cosburn Ave,14,2.7.2.1,12
55 Cosburn Ave,14,6.5.1.5 (1),12
1175 Broadview Ave,14,1.1.2.1./2.7.3.3.(3),10
1175 Broadview Ave,14,1.1.2.1./6.2.7.5.,10
1175 Broadview Ave,14,1.1.2.1./6.3.2.2.,10
1175 Broadview Ave,14,1.1.2.1./6.5.5.3.,10
1175 Broadview Ave,14,2.2.3.2,10
1175 Broadview Ave,14,6.3.1.4,10
1175 Broadview Ave,14,6.5.1.5,10
50 Cosburn Ave,14,1.1.2.1./6.5.5.3.,5
2350 Birchmount Rd,22,2.2.3.1,2
2350 Birchmount Rd,22,2.2.3.2,2
20 Gamble Ave,14,2.1.2.2,9
20 Gamble Ave,14,2.2.2.1,9
20 Gamble Ave,14,2.2.3.1,9
20 Gamble Ave,14,2.2.3.2,9
20 Gamble Ave,14,6.4.1.2,9
20 Gamble Ave,14,6.5.1.5 (1),9
75 Cosburn Ave,14,2.7.3.2,10
75 Cosburn Ave,14,6.3.2.2,10
75 Cosburn Ave,14,6.3.2.2,10
91 Cosburn Ave,14,2.1.2.2,13
91 Cosburn Ave,14,2.2.3.1,13
91 Cosburn Ave,14,2.4.1.1,13
100 Rowena Dr,16,1.1.2.1,22
100 Rowena Dr,16,1.1.2.1./7.2.2.1.,22
100 Rowena Dr,16,2.2.2.1,22
100 Rowena Dr,16,2.2.3.2,22
100 Rowena Dr,16,2.8.3.4,22
100 Rowena Dr,16,6.3.1.2,22
100 Rowena Dr,16,9.6.2.11,22
105 Rowena Dr,16,1.1.2.1,24
105 Rowena Dr,16,1.1.2.1./7.2.2.1.,24
105 Rowena Dr,16,2.7.1.7,24
105 Rowena Dr,16,2.7.3.3,24
105 Rowena Dr,16,2.8.3.4,24
1028 McNicoll Ave,22,1.1.2.1./2.7.3.3.(3),13
1028 McNicoll Ave,22,1.1.2.1./6.2.7.5.,13
1028 McNicoll Ave,22,1.1.2.1./6.3.2.2.,13
1028 McNicoll Ave,22,1.1.2.1./6.3.2.4.,13
1028 McNicoll Ave,22,1.1.2.1./6.3.3.8.,13
1028 McNicoll Ave,22,1.1.2.1./6.5.5.3.,13
1028 McNicoll Ave,22,1.1.2.1./6.6.3.5.,13
1028 McNicoll Ave,22,1.1.2.1./7.2.2.1.,13
1028 McNicoll Ave,22,2.2.3.2,13
1028 McNicoll Ave,22,6.2.4.3,13
1028 McNicoll Ave,22,7.2.5.1,13
1028 McNicoll Ave,22,9.6.3.6,13
2365 Kennedy Rd,22,1.1.2.1,8
2365 Kennedy Rd,22,2.2.3.2,8
2365 Kennedy Rd,22,6.3.1.4,8
3333 Finch Ave E,22,2.2.3.2,11
3333 Finch Ave E,22,6.4.2.6,11
3333 Finch Ave E,22,6.5.1.5 (2),11
225 Bamburgh Crcl,22,1.1.2.1,9
225 Bamburgh Crcl,22,2.2.3.2,9
255 Village Green Sq,22,1.1.2.1./2.7.3.3.(3),20
255 Village Green Sq,22,1.1.2.1./6.3.2.4.,20
255 Village Green Sq,22,1.1.2.1./6.6.3.5.,20
255 Village Green Sq,22,1.1.2.1./6.7.1.1.,20
255 Village Green Sq,22,1.1.2.1./7.2.2.1.,20
255 Village Green Sq,22,2.2.3.2,20
255 Village Green Sq,22,2.7.3.1,20
255 Village Green Sq,22,6.2.4.3,20
275 Bamburgh Crcl,22,1.1.2.1,15
275 Bamburgh Crcl,22,2.2.2.1,15
275 Bamburgh Crcl,22,6.5.1.5 (2),15
275 Bamburgh Crcl,22,9.6.3.8,15
255 Bamburgh Crcl,22,1.1.2.1,14
255 Bamburgh Crcl,22,2.2.2.1,14
255 Bamburgh Crcl,22,2.2.3.2,14
228 Bonis Ave,22,2.2.3.2,4
228 Bonis Ave,22,2.4.1.1,4
228 Bonis Ave,22,2.4.1.1,4
228 Bonis Ave,22,2.5.1.2. (2),4
1720 Eglinton Ave E,16,6.3.1.4,15
350 Lonsdale Rd,12,2.2.2.1,14
40 Delisle Ave,12,1.1.2.1,18
40 Delisle Ave,12,1.1.2.1./2.7.3.3.(3),18
40 Delisle Ave,12,1.1.2.1./6.2.7.5.,18
40 Delisle Ave,12,1.1.2.1./6.3.2.2.,18
40 Delisle Ave,12,2.2.3.2,18
44 Dunfield Ave,12,2.2.2.1,2
1360 Danforth Rd #100,21,1.1.1.2,1
2799 Kingston Rd,20,1.1.2.1./2.7.3.3.(3),17
2799 Kingston Rd,20,1.1.2.1./6.2.7.5.,17
2799 Kingston Rd,20,1.1.2.1./6.3.2.2.,17
2799 Kingston Rd,20,1.1.2.1./6.3.2.4.,17
2799 Kingston Rd,20,1.1.2.1./6.3.2.6.,17
2799 Kingston Rd,20,1.1.2.1./6.4.3.2.,17
2799 Kingston Rd,20,1.1.2.1./6.4.3.3.,17
2799 Kingston Rd,20,1.1.2.1./6.4.3.7.(1),17
2799 Kingston Rd,20,1.1.2.1./6.5.5.2.,17
2799 Kingston Rd,20,1.1.2.1./6.5.5.3.,17
2799 Kingston Rd,20,1.1.2.1./6.5.5.4.,17
2799 Kingston Rd,20,1.1.2.1./6.5.5.5.,17
2799 Kingston Rd,20,1.1.2.1./6.6.3.5.,17
2799 Kingston Rd,20,1.1.2.1./6.7.1.1.,17
2799 Kingston Rd,20,2.2.3.2,17
2799 Kingston Rd,20,6.5.6.5 (5),17
3 Rean Dr,17,1.1.2.1./2.7.3.3.(3),34
3 Rean Dr,17,1.1.2.1./6.2.7.5.,34
3 Rean Dr,17,1.1.2.1./6.3.2.2.,34
3 Rean Dr,17,1.1.2.1./6.3.3.8.,34
3 Rean Dr,17,1.1.2.1./6.4.3.2.,34
3 Rean Dr,17,1.1.2.1./6.5.5.5.,34
3 Rean Dr,17,1.1.2.1./6.7.1.1.,34
3 Rean Dr,17,2.2.2.1,34
3 Rean Dr,17,2.2.3.2,34
3 Rean Dr,17,2.4.1.1,34
3 Rean Dr,17,2.7.3.2 (1),34
3 Rean Dr,17,2.8.2.1,34
3 Rean Dr,17,6.2.7.2,34
3 Rean Dr,17,6.3.1.2,34
3 Rean Dr,17,CH 470 - S.6,34
3 Rean Dr,17,CH 470 - S.7,34
61 Heintzman St,NA,2.4.1.1,5
61 Heintzman St,NA,2.8.2.1,5
61 Heintzman St,NA,6.2.1.2,5
61 Heintzman St,NA,6.5.1.5 (1),5
8 Rean Dr,17,1.1.1.2,31
8 Rean Dr,17,1.1.2.1./6.6.3.5.,31
8 Rean Dr,17,1.1.2.1./6.7.1.1.,31
8 Rean Dr,17,2.2.3.2,31
8 Rean Dr,17,6.3.1.2,31
8 Rean Dr,17,7.2.2.1,31
8 Rean Dr,17,CH 470 - S.6,31
25 Leith Hill Rd,17,2.2.3.2,5
25 Leith Hill Rd,17,2.7.3.2 (1),5
25 Leith Hill Rd,17,9.6.2.15,5
6 Auburndale Crt,1,1.1.2.1,10
6 Auburndale Crt,1,1.1.2.3,10
61 Pelham Park Gdns,9,2.5.1.2. (1),16
220 Eglinton Ave E,12,1.1.2.1./6.7.1.1.,16
220 Eglinton Ave E,12,6.4.3.5,16
220 Eglinton Ave E,12,6.4.3.7,16
220 Eglinton Ave E,12,6.6.3.5,16
275 Yorkland Rd,17,6.3.3.3,3
262 Ridley Blvd,8,2.7.1.7,2
5949 Yonge St,18,1.1.1.2,13
5101 Dundas St W,3,7.2.5.1,5
70 Mornelle Crt,24,2.2.3.2,9
3121 Sheppard Ave E,22,6.4.1.3. (3),18
44 Willowridge Rd,1,1.1.2.1,11
44 Willowridge Rd,1,1.1.2.2,11
44 Willowridge Rd,1,1.1.2.3,11
44 Willowridge Rd,1,2.4.1.1,11
10 Sunny Glenway,16,1.1.2.1,20
10 Sunny Glenway,16,2.2.2.1,20
10 Sunny Glenway,16,2.2.3.1,20
10 Sunny Glenway,16,2.2.3.2,20
10 Sunny Glenway,16,2.7.1.7,20
10 Sunny Glenway,16,2.7.1.7,20
10 Sunny Glenway,16,3.3.2.3,20
10 Sunny Glenway,16,3.3.2.6,20
10 Sunny Glenway,16,6.3.1.2,20
10 Sunny Glenway,16,6.4.2.1,20
10 Sunny Glenway,16,6.5.1.5,20
10 Sunny Glenway,16,9.6.3.6,20
5 Dufresne Crt,16,1.1.2.1,14
5 Dufresne Crt,16,1.1.2.1,14
5 Dufresne Crt,16,2.16.2.1,14
5 Dufresne Crt,16,2.2.2.1,14
5 Dufresne Crt,16,2.2.3.2,14
5 Dufresne Crt,16,2.4.1.1,14
5 Dufresne Crt,16,2.7.1.7,14
5 Dufresne Crt,16,7.2.2.1,14
4 The Kingsway,3,1.1.1.2,3
4 The Kingsway,3,2.5.1.2. (2),3
23 Glebe Rd W,12,1.1.2.1./6.7.1.1.,18
23 Glebe Rd W,12,2.8.3.4,18
23 Glebe Rd W,12,6.5.5.7,18
23 Glebe Rd W,12,6.6.3.3,18
23 Glebe Rd W,12,6.6.3.5,18
222 Elm St,11,6.3.1.4,16
59 Spadina Rd,11,1.1.1.2,20
59 Spadina Rd,11,2.16.2.1,20
59 Spadina Rd,11,2.4.1.1,20
59 Spadina Rd,11,2.8.2.1,20
59 Spadina Rd,11,CH 470 - S.7,20
4300 Bathurst St,6,1.1.2.3,9
4300 Bathurst St,6,2.2.2.1,9
4300 Bathurst St,6,2.2.3.2,9
4300 Bathurst St,6,2.2.3.3,9
4300 Bathurst St,6,2.7.1.7,9
6010 Bathurst St,6,2.2.2.1,3
6010 Bathurst St,6,2.2.3.2,3
60 Bathurst St,10,1.1.2.1./6.2.7.5.,3
60 Bathurst St,10,1.1.2.1./6.3.2.2.,3
60 Bathurst St,10,1.1.2.1./7.3.1.2.,3
490 Eglinton Ave E,15,2.2.2.1,12
1 Rowntree Rd,1,1.1.2.1./6.3.2.2.,9
1 Rowntree Rd,1,2.1.2.2,9
1 Rowntree Rd,1,2.5.1.4,9
1 Rowntree Rd,1,2.7.3.2 (1),9
1331 Queen St E,14,2.8.2.1,16
99 Blackwell Ave,23,2.2.2.1,5
99 Blackwell Ave,23,2.2.3.2,5
10 Tapscott Rd,23,1.1.1.2,9
10 Tapscott Rd,23,1.1.2.1,9
10 Tapscott Rd,23,1.1.2.1./6.6.3.5.,9
10 Tapscott Rd,23,2.2.3.2,9
4 Treewood St,21,2.4.1.1,6
4 Treewood St,21,6.2.1.2,6
4 Treewood St,21,CH 470 - S.6,6
4 Treewood St,21,CH 470 - S.7,6
2185 Lawrence Ave E,21,2.2.3.2,15
2185 Lawrence Ave E,21,2.2.3.3,15
4205 Lawrence Ave E,25,6.4.2.1,6
2230 Lawrence Ave E,21,2.2.2.1,8
2230 Lawrence Ave E,21,2.2.3.2,8
2230 Lawrence Ave E,21,2.4.1.1,8
2230 Lawrence Ave E,21,2.4.1.1,8
2230 Lawrence Ave E,21,6.3.1.4,8
2301 Victoria Park Ave,21,1.1.1.2,6
2301 Victoria Park Ave,21,2.2.3.2,6
2301 Victoria Park Ave,21,7.2.1.1,6
1 Terraview Blvd,21,1.1.1.2,7
