id,property_address,address_number,address_name,enforcement_proceedings,property_type,property_ward,inspection_thread,inspections_opendate,inspections_closeddate,violation_fire_code,violations_item_number,violation_description
77195,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77196,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1./6.2.7.5.,3,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77197,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1./6.3.2.2.,4,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77198,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1./6.6.3.5.,5,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77199,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1./6.7.1.1.,6,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77200,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,2.16.2.1,7,2.16.2.1 Installation requirements
77201,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,2.4.1.1,8,2.4.1.1 Accumulation of combustible materials
77202,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,2.8.2.1,9,2.8.2.1 Measures in a fire safety plan
77203,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,CH 470 - S.6,10,CH 470 - S.6
77204,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,1.1.1.2,1,"1.1.1.2 Check, inspect and test"
77205,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77206,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,1.1.2.1./6.3.2.2.,3,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77207,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,1.1.2.1./6.6.3.5.,4,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77208,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,1.1.2.1./6.7.1.1.,5,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77209,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,2.2.3.3,6,2.2.3.3 Operation of closures
77210,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,2.8.3.2,7,2.8.3.2 Frequency
77211,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,6.5.6.5,8,6.5.6.5 Spare sprinkler heads
77212,320 Richmond St E,320,Richmond,No,High Rise,13,_6bcb0E5BD9BF168,2020-05-19 10:19:59,2020-07-15 10:15:34,6.6.3.5,9,6.6.3.5 Fire pump flow tests
77213,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./2.7.3.3.(3),1,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77214,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.2.7.5.,2,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77215,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.3.2.2.,3,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77216,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.3.3.8.,4,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms)
77217,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.4.3.2.,5,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic)
77218,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.4.3.3.,6,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection)
77219,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.5.5.3.,7,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test)
77220,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,1.1.2.1./6.6.3.5.,8,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77221,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,2.2.2.1,9,2.2.2.1 Damaged fire separations
77222,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,2.2.3.2,10,2.2.3.2 Maintenance of closures
77223,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,6.5.1.1,11,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance"
77224,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,6.5.1.5 (1),12,6.5.1.5 (1) Obstructions
77225,330 Jarvis St,330,Jarvis,No,High Rise,13,_6bcb11C09556C6D,2020-07-30 08:59:44,2020-09-24 08:06:01,9.6.2.6,13,9.6.2.6 Protection of openings in fire separations
77226,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.1,1,1.1.2.1 Records to be prepared
77227,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77228,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.1./6.2.7.5.,3,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77229,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.1./6.3.2.2.,4,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77230,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.1./6.6.3.5.,5,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77231,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,1.1.2.3./6.7.1.1.,6,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems)
77232,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,2.8.2.1,7,2.8.2.1 Measures in a fire safety plan
77233,33 Charles St E,33,Charles,No,High Rise,13,_6bcb16FBD678A07,2020-05-19 16:00:43,2020-09-10 12:00:36,2.8.3.4,8,2.8.3.4 Records
77234,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.1.2,1,"1.1.1.2 Check, inspect and test"
77235,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77236,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.2.1./6.2.7.5.,3,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77237,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.2.1./6.3.2.2.,4,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77238,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.2.1./6.5.5.2.,5,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test)
77239,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,1.1.2.1./6.7.1.1.,6,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77240,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,2.4.1.1,7,2.4.1.1 Accumulation of combustible materials
77241,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,2.8.3.2,8,2.8.3.2 Frequency
77242,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,6.3.1.4,9,6.3.1.4 Fire Alarm Maintenance
77243,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,6.4.1.3. (1),10,B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING
77244,330 Adelaide St E,330,Adelaide,No,High Rise,13,_6bcb18ECCFE11A9,2020-05-19 09:22:58,2021-06-08 16:39:58,7.3.1.3,11,7.3.1.3 Maintenance of certain fire emergency systems
77245,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.1.2,1,"1.1.1.2 Check, inspect and test"
77246,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.2.1./6.2.7.5.,2,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77247,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.2.1./6.3.2.2.,3,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77248,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.2.1./6.5.5.2.,4,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test)
77249,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.2.1./6.6.3.5.,5,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77250,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,1.1.2.1./6.7.1.1.,6,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77251,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.2.2.1,7,2.2.2.1 Damaged fire separations
77252,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.2.3.2,8,2.2.3.2 Maintenance of closures
77253,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.2.3.3,9,2.2.3.3 Operation of closures
77254,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.4.1.1,10,2.4.1.1 Accumulation of combustible materials
77255,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.7.3.2,11,2.7.3.2 Exit Signs
77256,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,2.8.2.5 (1),12,2.8.2.5 (1) Posting fire emergency procedures
77257,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,6.5.1.1,13,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance"
77258,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,6.5.1.5 (1),14,6.5.1.5 (1) Obstructions
77259,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,6.5.4.5,15,6.5.4.5 Sprinkler control valves
77260,35 Church St,35,Church,No,High Rise,13,_6bcb1C9F9372595,2020-07-30 17:21:40,2021-07-16 15:48:36,6.5.6.5,16,6.5.6.5 Spare sprinkler heads
77261,37 Grosvenor St,37,Grosvenor,No,High Rise,13,_6bcb216EF2549F4,2020-05-26 14:30:36,2021-01-27 09:31:47,2.5.1.2,1,2.5.1.2 Maintaining access free of obstructions
77262,37 Grosvenor St,37,Grosvenor,No,High Rise,13,_6bcb216EF2549F4,2020-05-26 14:30:36,2021-01-27 09:31:47,2.8.2.1,2,2.8.2.1 Measures in a fire safety plan
77263,37 Grosvenor St,37,Grosvenor,No,High Rise,13,_6bcb216EF2549F4,2020-05-26 14:30:36,2021-01-27 09:31:47,2.8.2.1,3,2.8.2.1 Measures in a fire safety plan
77264,37 Grosvenor St,37,Grosvenor,No,High Rise,13,_6bcb216EF2549F4,2020-05-26 14:30:36,2021-01-27 09:31:47,6.3.2.2,4,6.3.2.2 Fire alarm systems
77265,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./2.7.3.3.(3),1,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77266,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.2.7.5.,2,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77267,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.3.2.2.,3,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77268,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.3.3.8.,4,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms)
77269,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.5.5.3.,5,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test)
77270,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.6.3.5.,6,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77271,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,1.1.2.1./6.7.1.1.,7,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77272,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,2.2.3.3,8,2.2.3.3 Operation of closures
77273,39 Jarvis St,39,Jarvis,No,High Rise,13,_6bcb23D57407ABC,2020-06-08 11:30:40,2020-10-16 12:00:14,6.4.1.2,9,6.4.1.2 Testing
77274,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1,1,1.1.2.1 Records to be prepared
77275,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
77276,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./6.2.7.5.,3,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers)
77277,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./6.3.2.2.,4,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77278,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./6.4.3.3.,5,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection)
77279,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./6.6.3.5.,6,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77280,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,1.1.2.1./6.7.1.1.,7,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77281,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,2.5.1.2. (2),8,B.2.5.1.2.(2) FIRE DEPARTMENT ACCESS STANDPIPE/SPRINKLER
77282,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,2.8.3.4,9,2.8.3.4 Records
77283,40 Alexander St,40,Alexander,No,High Rise,13,_6bcb254520D49D3,2020-05-26 15:26:10,2020-12-17 14:58:51,6.4.1.3. (1),10,B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING
77285,400 Adelaide St E,400,Adelaide,No,High Rise,13,_6bcb29B5475A226,2020-05-19 09:20:24,2020-07-08 09:39:10,1.1.2.1./6.7.1.1.,1,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems)
77286,400 Adelaide St E,400,Adelaide,No,High Rise,13,_6bcb29B5475A226,2020-05-19 09:20:24,2020-07-08 09:39:10,2.8.3.2,2,2.8.3.2 Frequency
77287,400 Adelaide St E,400,Adelaide,No,High Rise,13,_6bcb29B5475A226,2020-05-19 09:20:24,2020-07-08 09:39:10,6.4.1.3. (1),3,B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING
77288,400 Adelaide St E,400,Adelaide,No,High Rise,13,_6bcb29B5475A226,2020-05-19 09:20:24,2020-07-08 09:39:10,6.5.6.5,4,6.5.6.5 Spare sprinkler heads
77289,389 Church St,389,Church,No,High Rise,13,_6bcb2D9CBE1B2AB,2020-07-31 12:00:22,2021-06-01 11:32:36,1.1.2.2,1,1.1.2.2 Retention of records
77290,389 Church St,389,Church,No,High Rise,13,_6bcb2D9CBE1B2AB,2020-07-31 12:00:22,2021-06-01 11:32:36,2.8.2.1,2,2.8.2.1 Measures in a fire safety plan
77291,215 Wynford Dr,215,Wynford,No,High Rise,16,_6bcb40D8F5014C2,2020-05-06,2020-07-30 00:01:00,1.1.2.1,1,1.1.2.1 Records to be prepared
77292,215 Wynford Dr,215,Wynford,No,High Rise,16,_6bcb40D8F5014C2,2020-05-06,2020-07-30 00:01:00,1.1.2.1./2.7.3.3.(3),2,1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting)
